Zone|Category|colour
D.O.Gran Canaria|Denominación de Origen|lightcoral
D.O.La Gomera|Denominación de Origen|purple
D.O.El Hierro|Denominación de Origen|darkgoldenrod
V.C.Cangas|Vino de Calidad|blanchedalmond
V.C.Granada|Vino de Calidad|blanchedalmond
V.C.Lebrija|Vino de Calidad|blanchedalmond
V.C.Sierra de Salamanca|Vino de Calidad|blanchedalmond
D.O.Cigales|Denominación de Origen|olivedrab
D.O.Conca de Barberá|Denominación de Origen|purple
D.O.Condado de Huelva|Denominación de Origen|darkorange
D.O.Alella|Denominación de Origen|limegreen
D.O.Costers del Segre|Denominación de Origen|plum
V.C.Valtiendas|Vino de Calidad|blanchedalmond
D.O.Valle de Güimar|Denominación de Origen|plum
D.O.Valle de la Orotava|Denominación de Origen|mediumblue
D.O.Arlanza|Denominación de Origen|lightcoral
V.C.Valles de Benavente|Vino de Calidad|blanchedalmond
D.O.Vinos de Madrid|Denominación de Origen|darkorange
D.O.Ycoden-Daute-Isora|Denominación de Origen|olivedrab
D.O.Yecla|Denominación de Origen|lightcoral
D.O.Arribes|Denominación de Origen|teal
D.O.Bierzo|Denominación de Origen|darkgoldenrod
D.O.Penedés|Denominación de Origen|olivedrab
D.O.Bullas|red|red
D.O.Calatayud|Denominación de Origen|olivedrab
D.O.Campo de Borja|Denominación de Origen|lightcoral
D.O.Cava|Denominación de Origen|empty yellow square
D.O.Cariñena|Denominación de Origen|darkorange
D.O.Abona|Denominación de Origen|darkorange
D.O.Cataluña|Denominación de Origen|red
V.P.Campo de la Guardia|Vino de Pago|circle marker
V.P.Casa del Blanco|Vino de Pago|circle marker
V.P.Pago Florentino|Vino de Pago|circle marker
V.P.Pago de Arínzano|Vino de Pago|circle marker
V.P.Pago de Otazu|Vino de Pago|circle marker
V.P.Pago Aylés|Vino de Pago|circle marker
D.O.P.Las Islas Canarias|Denominación de Origen Protegida|deeppink
V.P.Pago de Calzadilla|Vino de Pago|circle marker
V.P.El Terrerazo|Vino de Pago|circle marker
V.P.Pago Los Balagueses|Vino de Pago|circle marker
V.P.Prado de Irache|Vino de Pago|circle marker
V.P.Dehesa del Carrizal|Vino de Pago|circle marker
V.P.Dominio de Valdepusa|Vino de Pago|circle marker
D.O.Ribera del Guadiana|Denominación de Origen|olivedrab
V.P.Finca Élez|Vino de Pago|circle marker
V.P.Guijoso|Vino de Pago|circle marker
D.O.Binissalem|Denominación de Origen|olivedrab
D.O.Bizkaiko Txakolina-Chacolí de Bizkaia|Denominación de Origen|plum
D.O.Cava|Denominación de Origen|empty yellow square
D.O.Cava|Denominación de Origen|empty yellow square
D.O.Cava|Denominación de Origen|empty yellow square
D.O.Cava|Denominación de Origen|empty yellow square
D.O.Cava|Denominación de Origen|empty yellow square
D.O.Cava|Denominación de Origen|empty yellow square
D.O.Getariako Txakolina-Chacolí de Getaria|Denominación de Origen|olivedrab
D.O.Jerez-Xeres-Sherry|Denominación de Origen|darkgoldenrod
D.O.Jumilla|Denominación de Origen|darkkhaki
D.O.Priorato|Denominación de Origen|gold
D.O.Rías Baixas|Denominación de Origen|olivedrab
D.O.Ribeira Sacra|Denominación de Origen|mediumslateblue
D.O.Alicante|Denominación de Origen|mediumblue
D.O.La Mancha|Denominación de Origen|gold
D.O.La Palma|Denominación de Origen|firebrick
D.O.Lanzarote|Denominación de Origen|darkorange
D.O.Ribeiro|Denominación de Origen|gold
D.O.Ribera del Duero|red|red
D.O.Empordá|Denominación de Origen|darkgoldenrod
D.O.Ribera del Júcar|Denominación de Origen|darkgoldenrod
D.O.Ca.Vino de Rioja|Denominación de Origen Calificada|darkgoldenrod
D.O.Rueda|Denominación de Origen|plum
D.O.Sierras de Málaga|Denominación de Origen|purple
D.O.Málaga|Denominación de Origen|purple
D.O.Manchuela|Denominación de Origen|olivedrab
D.O.Manzanilla Sanlúcar de Barrameda|Denominación de Origen|darkgoldenrod
D.O.Méntrida|Denominación de Origen|plum
D.O.Mondéjar|Denominación de Origen|darkgoldenrod
D.O.Monterrei|Denominación de Origen|darkgoldenrod
D.O.Montilla-Moriles|Denominación de Origen|gold
D.O.Almansa|Denominación de Origen|mediumslateblue
D.O.Montsant|Denominación de Origen|darkseagreen
D.O.Vino Navarra|Denominación de Origen|gold
D.O.Pla de Bages|Denominación de Origen|mediumslateblue
D.O.Pla i Llevant|Denominación de Origen|darkorange
D.O.Somontano|Denominación de Origen|olivedrab
D.O.Tacoronte-Acentejo|Denominación de Origen|gold
D.O.Tarragona|Denominación de Origen|darkgoldenrod
D.O.Terra Alta|Denominación de Origen|darkorange
D.O.Tierra de León|Denominación de Origen|darkorange
D.O.Arabako Txakolina-Chacolí de Álava|Denominación de Origen|lightcoral
D.O.Tierra del Vino de Zamora|Denominación de Origen|plum
D.O.Toro|Denominación de Origen|gold
D.O.Uclés|Denominación de Origen|teal
D.O.Utiel-Requena|Denominación de Origen|darkorange
D.O.Valdeorras|Denominación de Origen|darkorange
D.O.Valdepeñas|Denominación de Origen|darkseagreen
D.O.Valencia|Denominación de Origen|plum
